filename,size_bytes,sha256
"players_scouted_ratings.csv",2905856,"f036bd35ff55c4811b40b9980065011ba8077366b94a42ae4c74367abb34088a"
"players_streak.csv",8603335,"3bcc2abec1ee67cc7258b06c7248229559ec97676128b454170ad4857b4fc40b"
"players_value.csv",1353700,"3aaf9fbd34eea4e83fe55e9873da417b47ae62c598c377ac9f87027b107534d5"
"projected_starting_pitchers.csv",6884,"6fc6ed978cc7decf31e82cbf0c8a25aa2b20f0aee55624f6b4a1acef72a5e84a"
"states.csv",36823,"c2f7564a56665b98d1e2328e9fa7451d3c1118816646aaac844617cc6efbf0ec"
"sub_leagues.csv",476,"c027c99538ea98956378043cf2357b1d6eb46dfd965805f1d3b47f7155717c2a"
"team_affiliations.csv",868,"46a126eb135b7f2aa4ab1f79839c9a34d1d5a05e90e4dda32e6a4eead29706c8"
"team_batting_stats.csv",25651,"21de8ffafc7f8627d6cb622a7fbd8829b2ac5b31c4213c943158bdf8073af105"
"team_bullpen_pitching_stats.csv",47678,"0aefffcae5c30f8bfbd893088107a000b0d81182d7420ef44f2604e79fc20884"
"team_fielding_stats_stats.csv",14735,"5d0e99e8ebdbe119c65374b20cec23d63e635b954bb637a2b02247bc04328e27"
"team_financials.csv",25152,"448ed49b5a6aa1c4ddf1bed22183759efd57dde1be18830af34f9009c1c9451d"
"team_history.csv",93998,"d94291744c4b797f6393538a05a6dca536be3e9d7ce774b0ab3e65af95cd7236"
"team_history_batting_stats.csv",226782,"a8bc5887a32a0774469db28fea01264bc651f01ce38d1c69295e7cb6b4f5e973"
"team_history_fielding_stats_stats.csv",133130,"e930c6efd266da4926388948aa16f55becbccf4f38080aaada304e0a61438d09"
"team_history_financials.csv",171980,"8c7ea34b100dbbd51e1982dd64850b1c647c21a2b4294c809102a802468286b1"
"team_history_pitching_stats.csv",436119,"fe88698368117ab53e655c967865ad627c927a74584571694f8583a5012fed30"
"team_history_record.csv",67922,"60236112ecb07f7e8f5510e541b8099fc2a33bb430b58b9b448a5ea497585f9e"
"team_last_financials.csv",19231,"cee0ecdf68b6d0013458947e7d1d249c833e3ab2692fc76309c79d31ca9b1d1d"
"team_pitching_stats.csv",50212,"57623f96ac7403678ebd7c4dec4b5d6911ea56d140a505d6de3a7e5a21aeae64"
"team_record.csv",6029,"ede520479fe0858f58003337654e292a6f5d20eba2d5edcbf672c5436cc708cd"
"team_relations.csv",1809,"f66b5de5b220205899722c1236c47dd60c04486bf5143bec65183a745eda0927"
"team_roster.csv",123140,"c2a00476733ed4755e1e0fcc55ae0a2bdea144484e464719f071760821b17e44"
"team_roster_staff.csv",5114,"6e37cf8f60e7d8385f1a685fd356b1e6001186e0fa5742bde5d7407693307ae6"
"team_starting_pitching_stats.csv",49015,"fd4a43664e2561b53b21d09465a2a1c1ff6c6f7d89680b08b937e7a5dbe3391c"
"teams.csv",28392,"21e6a928470510bcadcd0d2b3b7d40425b5c97b7a1f75a7aab4ffc59da75e65c"
"trade_history.csv",203597,"7c543a611032720941ac6f244216cb2d4a5dcccc56588d922833fda191f40546"
